-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                        SessionName                                                        |                                                      SessionAbstract                                                      |      SessionL       |                                                          Summary                                                          |                                                           Goals                                                           |  R  |                                                      Elevator pitch                                                       |
|                                                                                                                           | Unfortunately, the world has changed. In the era of the cloud, that                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | "someone else" has a funny way of turning into "you", and many a                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | DBA and data professionals find themselves scrambling to get to                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | grips with how networking works in Azure.                                                                                 |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | This session builds on previously acquired skills such as virtual                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | networks, peering and network security groups, and goes deeper on                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  how to really set up private link for added security, how service                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | endpoints can best be used, what Bastion might bring to the table                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | and how to get the most out of networking with a SQL Server                                                               |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Managed Instance.                                                                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | The session will look at key aspects of how Azure networking works                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | from the perspective of the data professional, look at how the                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | network traffic really flows, and discuss best practices for security                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | and availability in both a cloud-based and hybrid world.                                                                  |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | The is not the session you want, but it is the session you need.                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Lipstick On a Pig - Remaking a Power BI Report in 20 Minutes                                                              | You've been handed a report that could best be described as                                                               |                 100 |                                                                                                                           | Understand who the report is for                                                                                          |   0 |                                                                                                                           |
|                                                                                                                           | "visually suboptimal" or simply - "terrible".                                                                             |                     |                                                                                                                           | Gain an understanding of basic cognition as it relates to visuals                                                         |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           | Understand the importance of availability                                                                                 |     |                                                                                                                           |
|                                                                                                                           | You would like nothing more than to spend the hours it deserves in a                                                      |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | bid to make it much more clear, concise and useable, but the simple                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | fact of the matter is that nobody wants to pay you for spending those                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | hours.                                                                                                                    |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | But - sometimes closing your eyes, groaning inwardly, and passing                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | the report up the chain just isn't an option either. Something needs to                                                   |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | be done, but it needs to be done quickly in order to make the report                                                      |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | at least useable while not costing a fortune.                                                                             |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | This session will show you some quick things you can do to turn a                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | really bad report into something decent - it won't be perfect, but it                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | won't take very long either.                                                                                              |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Undoing the Pretzel - Five Tips for Improving Your Body Language                                                          | We've all seen it - speakers leaning on the lectern, swaying like                                                         |                   0 |                                                                                                                           | What to do with your body                                                                                                 |   0 |                                                                                                                           |
|                                                                                                                           | there was a stiff breeze, or standing in a way that seems                                                                 |                     |                                                                                                                           | What to do with your hands                                                                                                |     |                                                                                                                           |
|                                                                                                                           | anatomically impossible for a vertebrate.                                                                                 |                     |                                                                                                                           | How to use your body to enhance your message                                                                              |     |                                                                                                                           |
|                                                                                                                           | According to the science, 55 percent of emotional content is                                                              |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | conveyed through body language. That makes body language and                                                              |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | nonverbal cues an integral part of any session - in many ways even                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | more important than the slide deck!                                                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | A good, strong body language can mean the difference between                                                              |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | making your point clear and not making it at all. As with all                                                             |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | presentation skills, this is applicable to all aspects of everyday life -                                                 |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | not only when teaching or speaking. It's the same on stage as it is in                                                    |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | a meeting or at the supermarket.                                                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Give me 10 minutes of your time, and I'll give you five tips to quickly                                                   |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | improve your body language.                                                                                               |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
